# Dynamic Analysis - Mode: CUSTOM (PARTIAL RESULTS)
# Experiment Name: PEGtrial
# Test RPMs (global fallback): [0.8]
"# Per-cell RPM overrides: {1: [0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2], 2: [7.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0], 3: [3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0], 4: [0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2], 5: [30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0], 6: [30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0], 7: [3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0], 10: [7.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0], 17: [0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2]}"
"# Per-cell sample labels: {1: '10%PEG600K', 2: '6.5%PEG600K', 3: '10%PEG300K', 4: '10%PEG600K', 5: '5%PEG300K', 6: '5%PEG300K', 7: '10%PEG300K', 10: '6.5%PEG600K', 17: '10%PEG600K'}"
1,1,10%PEG600K,-66.060,0.6,30.04,39.460,65.766667,False
1,1,10%PEG600K,-66.060,0.7,30.03,44.830,64.042857,False
1,1,10%PEG600K,-66.060,0.8,30.04,49.920,62.400000,False
1,1,10%PEG600K,-66.060,0.9,25.07,54.570,60.633333,False
1,1,10%PEG600K,-66.060,1.0,25.08,59.430,59.430000,False
1,1,10%PEG600K,-66.060,1.1,25.08,63.780,57.981818,False
1,1,10%PEG600K,-66.060,1.2,25.08,68.180,56.816667,False
1,1,10%PEG600K,-66.080,0.3,35.01,22.800,76.000000,False
1,1,10%PEG600K,-66.080,0.4,35.02,28.970,72.425000,False
1,1,10%PEG600K,-66.080,0.5,30.05,35.060,70.120000,False
1,1,10%PEG600K,-66.080,0.6,30.05,40.780,67.966667,False
1,1,10%PEG600K,-66.080,0.7,30.04,46.120,65.885714,False
1,1,10%PEG600K,-66.080,0.8,30.04,51.340,64.175000,False
1,1,10%PEG600K,-66.080,0.9,25.09,56.230,62.477778,False
1,1,10%PEG600K,-66.080,1.0,25.07,60.940,60.940000,False
1,1,10%PEG600K,-66.080,1.1,25.08,65.590,59.627273,False
1,1,10%PEG600K,-66.080,1.2,25.09,69.920,58.266667,False
1,1,10%PEG600K,-66.100,0.3,35.02,23.610,78.700000,False
1,1,10%PEG600K,-66.100,0.4,30.04,29.840,74.600000,False
1,1,10%PEG600K,-66.100,0.5,35.02,35.980,71.960000,False
1,1,10%PEG600K,-66.100,0.6,30.05,41.860,69.766667,False
1,1,10%PEG600K,-66.100,0.7,30.05,47.380,67.685714,False
1,1,10%PEG600K,-66.100,0.8,30.05,52.500,65.625000,False
1,1,10%PEG600K,-66.100,0.9,25.07,57.700,64.111111,False
1,1,10%PEG600K,-66.100,1.0,25.09,62.520,62.520000,False
1,1,10%PEG600K,-66.100,1.1,30.04,67.320,61.200000,False
1,1,10%PEG600K,-66.100,1.2,25.09,71.540,59.616667,False
1,1,10%PEG600K,-66.120,0.3,35.01,24.410,81.366667,False
1,1,10%PEG600K,-66.120,0.4,35.01,30.910,77.275000,False
1,1,10%PEG600K,-66.120,0.5,30.05,37.100,74.200000,False
1,1,10%PEG600K,-66.120,0.6,30.06,42.980,71.633333,False
1,1,10%PEG600K,-66.120,0.7,30.05,48.890,69.842857,False
1,1,10%PEG600K,-66.120,0.8,30.07,54.180,67.725000,False
1,1,10%PEG600K,-66.120,0.9,30.07,59.470,66.077778,False
1,1,10%PEG600K,-66.120,1.0,25.09,64.310,64.310000,False
1,1,10%PEG600K,-66.120,1.1,30.04,69.220,62.927273,False
1,1,10%PEG600K,-66.120,1.2,25.09,73.700,61.416667,False
1,1,10%PEG600K,-66.140,0.3,35.01,25.090,83.633333,False
1,1,10%PEG600K,-66.140,0.4,35.01,31.850,79.625000,False
1,1,10%PEG600K,-66.140,0.5,30.06,38.220,76.440000,False
1,1,10%PEG600K,-66.140,0.6,30.05,44.200,73.666667,False
1,1,10%PEG600K,-66.140,0.7,30.06,50.240,71.771429,False
1,1,10%PEG600K,-66.140,0.8,30.04,55.680,69.600000,False
1,1,10%PEG600K,-66.140,0.9,30.05,60.970,67.744444,False
1,1,10%PEG600K,-66.140,1.0,25.08,66.110,66.110000,False
1,1,10%PEG600K,-66.140,1.1,25.07,70.820,64.381818,False
1,1,10%PEG600K,-66.140,1.2,25.07,75.780,63.150000,False
1,1,10%PEG600K,-66.160,0.3,35.01,25.900,86.333333,False
1,1,10%PEG600K,-66.160,0.4,35.01,32.820,82.050000,False
1,1,10%PEG600K,-66.160,0.5,30.05,39.600,79.200000,False
1,1,10%PEG600K,-66.160,0.6,30.05,45.740,76.233333,False
1,1,10%PEG600K,-66.160,0.7,30.04,51.660,73.800000,False
1,1,10%PEG600K,-66.160,0.8,30.04,57.590,71.987500,False
1,1,10%PEG600K,-66.160,0.9,25.09,62.710,69.677778,False
1,1,10%PEG600K,-66.160,1.0,25.09,68.120,68.120000,False
1,1,10%PEG600K,-66.160,1.1,25.08,73.080,66.436364,False
1,1,10%PEG600K,-66.160,1.2,25.08,78.030,65.025000,False
1,1,10%PEG600K,-66.180,0.3,35.03,26.870,89.566667,False
1,1,10%PEG600K,-66.180,0.4,35.01,33.740,84.350000,False
1,1,10%PEG600K,-66.180,0.5,35.00,40.740,81.480000,False
1,1,10%PEG600K,-66.180,0.6,30.06,47.230,78.716667,False
1,1,10%PEG600K,-66.180,0.7,30.04,53.170,75.957143,False
1,1,10%PEG600K,-66.180,0.8,30.04,59.110,73.887500,False
1,1,10%PEG600K,-66.180,0.9,30.04,64.660,71.844444,False
1,1,10%PEG600K,-66.180,1.0,30.05,70.050,70.050000,False
1,1,10%PEG600K,-66.180,1.1,30.04,75.130,68.300000,False
1,1,10%PEG600K,-66.180,1.2,25.07,80.170,66.808333,False
1,1,10%PEG600K,-66.200,0.3,35.03,27.940,93.133333,False
1,1,10%PEG600K,-66.200,0.4,35.01,34.970,87.425000,False
1,1,10%PEG600K,-66.200,0.5,35.01,42.260,84.520000,False
1,1,10%PEG600K,-66.200,0.6,30.06,48.930,81.550000,False
1,1,10%PEG600K,-66.200,0.7,30.05,54.990,78.557143,False
1,1,10%PEG600K,-66.200,0.8,30.05,61.130,76.412500,False
1,1,10%PEG600K,-66.200,0.9,30.05,66.830,74.255556,False
1,1,10%PEG600K,-66.200,1.0,30.05,72.360,72.360000,False
1,1,10%PEG600K,-66.200,1.1,25.08,77.510,70.463636,False
1,1,10%PEG600K,-66.200,1.2,30.06,82.830,69.025000,False
1,1,10%PEG600K,-66.220,0.3,35.01,28.900,96.333333,False
1,1,10%PEG600K,-66.220,0.4,35.01,36.060,90.150000,False
1,1,10%PEG600K,-66.220,0.5,35.01,43.620,87.240000,False
1,1,10%PEG600K,-66.220,0.6,30.06,50.420,84.033333,False
1,1,10%PEG600K,-66.220,0.7,30.03,56.590,80.842857,False
1,1,10%PEG600K,-66.220,0.8,30.04,63.060,78.825000,False
1,1,10%PEG600K,-66.220,0.9,30.06,68.830,76.477778,False
1,1,10%PEG600K,-66.220,1.0,30.06,74.560,74.560000,False
1,1,10%PEG600K,-66.220,1.1,25.07,79.770,72.518182,False
1,1,10%PEG600K,-66.220,1.2,30.04,85.270,71.058333,False
1,1,10%PEG600K,-66.240,0.3,35.02,30.050,100.166667,False
1,1,10%PEG600K,-66.240,0.4,35.01,37.490,93.725000,False
1,1,10%PEG600K,-66.240,0.5,35.01,45.430,90.860000,False
1,1,10%PEG600K,-66.240,0.6,30.07,52.440,87.400000,False
1,1,10%PEG600K,-66.240,0.7,30.04,58.700,83.857143,False
1,1,10%PEG600K,-66.240,0.8,30.05,65.480,81.850000,False
1,1,10%PEG600K,-66.240,0.9,30.05,71.320,79.244444,False
1,1,10%PEG600K,-66.240,1.0,30.07,77.350,77.350000,False
1,1,10%PEG600K,-66.240,1.1,25.08,82.590,75.081818,False
1,1,10%PEG600K,-66.240,1.2,30.05,88.330,73.608333,False
1,1,10%PEG600K,-66.260,0.3,35.01,31.330,104.433333,False
1,1,10%PEG600K,-66.260,0.4,35.01,38.950,97.375000,False
1,1,10%PEG600K,-66.260,0.5,35.02,47.220,94.440000,False
1,1,10%PEG600K,-66.260,0.6,30.03,54.290,90.483333,False
1,1,10%PEG600K,-66.260,0.7,30.04,60.760,86.800000,False
1,1,10%PEG600K,-66.260,0.8,30.05,67.830,84.787500,False
1,1,10%PEG600K,-66.260,0.9,30.05,73.660,81.844444,False
1,1,10%PEG600K,-66.260,1.0,30.04,80.040,80.040000,False
1,1,10%PEG600K,-66.260,1.1,25.08,85.190,77.445455,False
1,1,10%PEG600K,-66.260,1.2,30.05,91.310,76.091667,False
1,1,10%PEG600K,-66.280,0.3,35.01,34.170,113.900000,True
1,1,10%PEG600K,-66.280,0.4,35.10,41.200,103.000000,False
1,1,10%PEG600K,-66.280,0.5,35.01,49.320,98.640000,False
1,1,10%PEG600K,-66.280,0.6,35.01,57.480,95.800000,True
1,1,10%PEG600K,-66.280,0.7,30.03,63.640,90.914286,False
1,1,10%PEG600K,-66.280,0.8,30.04,70.710,88.387500,False
1,1,10%PEG600K,-66.280,0.9,25.09,76.730,85.255556,False
1,1,10%PEG600K,-66.280,1.0,30.04,83.370,83.370000,False
1,1,10%PEG600K,-66.280,1.1,25.07,88.550,80.500000,False
1,1,10%PEG600K,-66.280,1.2,30.04,94.840,79.033333,False
1,1,10%PEG600K,-66.300,0.3,35.01,35.500,118.333333,True
1,1,10%PEG600K,-66.300,0.4,35.01,41.700,104.250000,True
1,1,10%PEG600K,-66.300,0.5,35.01,50.180,100.360000,True
1,1,10%PEG600K,-66.300,0.6,35.02,58.300,97.166667,True
1,1,10%PEG600K,-66.300,0.7,30.06,64.310,91.871429,True
1,1,10%PEG600K,-66.300,0.8,35.01,72.310,90.387500,False
1,1,10%PEG600K,-66.300,0.9,25.08,77.440,86.044444,True
1,1,10%PEG600K,-66.300,1.0,30.05,84.280,84.280000,True
1,1,10%PEG600K,-66.300,1.1,25.06,89.510,81.372727,True
1,1,10%PEG600K,-66.300,1.2,30.04,95.690,79.741667,True
1,1,10%PEG600K,-66.320,0.3,35.10,34.750,115.833333,True
1,1,10%PEG600K,-66.320,0.4,35.00,42.370,105.925000,True
1,1,10%PEG600K,-66.320,0.5,35.09,50.620,101.240000,True
1,1,10%PEG600K,-66.320,0.6,30.04,57.660,96.100000,True
1,1,10%PEG600K,-66.320,0.7,30.04,63.910,91.300000,True
1,1,10%PEG600K,-66.320,0.8,35.01,71.450,89.312500,True
1,1,10%PEG600K,-66.320,0.9,30.03,77.400,86.000000,True
1,1,10%PEG600K,-66.320,1.0,30.09,84.080,84.080000,True
1,1,10%PEG600K,-66.320,1.1,25.09,89.180,81.072727,True
1,1,10%PEG600K,-66.320,1.2,30.07,95.940,79.950000,True
